filepath,class,domain,label,split
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fb65bef4-b6c2-49d8-86dd-be1e72bdb43d___R.S_HL 0611 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/96d3f95b-bef6-4bdd-a53a-f7049ccff3d1___R.S_HL 7933 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/fa7637b2-bfae-41c0-ba18-b9f3d0778ec3___R.S_HL 0622 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/68b3c76b-d08f-498d-bc5e-ddf54af4fd73___R.S_HL 8027 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/dcf1eb1d-f35f-4dfe-9f07-028ddf3abbc3___R.S_HL 8293 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/63067c56-0462-4548-9b58-ffec723a5875___R.S_HL 7915 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/c9223f42-46af-4fa7-bf4e-40a771dafd9f___R.S_HL 0621 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/da7362e5-f442-44f3-aeb8-6523e0a2d9c1___R.S_HL 7957 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/592b6242-4900-41f6-8ec0-d2549c3bcb73___R.S_HL 8043 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4976825c-af34-4ba8-9e2d-2a6c25eae077___R.S_HL 8269 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6eb8d5db-f4ea-4337-a765-7dbf6b568ff3___R.S_HL 8342 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/07317e94-df27-4c29-bd69-6c5e54a0457d___R.S_HL 7998 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/bd387a28-3b26-47d8-827b-062ae0a0f234___R.S_HL 7990 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f3742e1c-689f-427e-9d32-e7aeb3c96e3c___R.S_HL 7925 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3aad0bf6-ba84-4d0f-8f52-d54f70446a4b___R.S_HL 5536 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/85e4fe16-e125-4f1c-8bda-d085106cce47___R.S_HL 8246 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/689cae64-bddb-4e2c-af15-3231f8818ed3___R.S_HL 8208 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/db66adfd-cc22-4c44-bf5d-856827ef14b4___R.S_HL 7977 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/c0c11e94-597e-4a17-94f2-8cb6e06ddb7d___R.S_HL 8086 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e9866172-d8db-4cf8-be09-8a94e31d45ee___R.S_HL 8248 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3ff59355-b164-4a03-a51f-4c19dad684a8___R.S_HL 8198 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/4c8d1ae5-019c-45ef-9151-ed904f18ca00___R.S_HL 7909 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e7f68761-74d5-4947-a40e-1ad45db8aec1___R.S_HL 8161 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b4b60243-de84-444a-973f-f2ce191527f5___R.S_HL 7981 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/526e6386-1a1f-4ac3-a49b-770d588faf4f___R.S_HL 7961 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0630fcdc-33c1-478b-882f-07da48cf8002___R.S_HL 8026 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/54771de1-8262-4207-b15f-ad48a1362ea7___R.S_HL 8249 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8639d32c-4fe2-4eb1-ae6b-a2cd6608363b___R.S_HL 0623 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2a46f1cb-9c54-481c-a61f-d3729d5cfc3e___R.S_HL 8315 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0e056ce8-3e28-4a07-bae2-33c9e96d1ada___R.S_HL 0652 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5a1567d9-a5ee-49fe-8c0c-78a9fe25b213___R.S_HL 8164 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/642c6d64-e53b-4d7b-951a-d00aaf805c32___R.S_HL 8213 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ed4e7959-4be3-4897-915d-4031532fb056___R.S_HL 8259 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/59633534-1c22-49c5-a8c8-909653945bf7___R.S_HL 7912 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/849ba0ac-0883-4fbd-a94d-ba7489e5d614___R.S_HL 8241 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/d518aedb-9e6e-4567-bb79-1f019415d61c___R.S_HL 8010 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/d8a72016-5579-43da-841b-d13030eaae6d___R.S_HL 7968 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1dbb4503-2025-4c04-98ac-eb8f49c51d12___R.S_HL 8221 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/53b73553-110a-4dc1-8320-332c4773b8e9___R.S_HL 7907 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/2f20e2f8-b6ba-474b-87eb-84ba8adc3bec___R.S_HL 8131 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1d81ce56-55bc-4037-8d1f-6d1ea0f94698___R.S_HL 5530 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1b1d1d6a-efe6-4c39-91a6-5d289b4e469b___R.S_HL 5525 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b25fb640-7a6b-4df9-baff-55bb4941540a___R.S_HL 8255 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e753f9e0-cfa5-482f-a361-ab3ad2ab151e___R.S_HL 7921 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/81ddfdc4-79fe-462c-b438-d176abad814b___R.S_HL 8041 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a599c53f-dd93-4629-b2b4-0b16c9714bd8___R.S_HL 7963 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/816bd8fe-3209-4aa5-8e10-10da14f78508___R.S_HL 7967 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b914d1d7-db9b-4db3-9360-1ba44beef18b___R.S_HL 8176 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/106155b4-c159-401a-9ca2-ef3e2f4c2baf___R.S_HL 7983 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5fb83fde-b027-465f-a126-f62ebf450be3___R.S_HL 5502 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3acb89dc-1f57-4921-a16c-62f53989bc91___R.S_HL 8134 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/af25549e-f09a-4fa5-958b-aa9c49ac6119___R.S_HL 8122 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6792a3b8-444b-48fb-bc25-85529d7c2693___R.S_HL 8319 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6fe6882b-fa5b-4e99-a1c8-3d227ceb4b40___R.S_HL 7958 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a0fbdc10-db9a-43d3-9ef7-87e07e106ba8___R.S_HL 8167 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/d51f3036-3389-4f44-96f6-e88f5f04604d___R.S_HL 8058 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/38573cac-324c-457a-8c88-2810ebb0f99a___R.S_HL 8316 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/61088927-8b39-475f-a426-15b4f9969871___R.S_HL 7996 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/d81b52fe-50d6-460b-88c0-64392ffdc901___R.S_HL 8054 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1f618ad4-7c33-4bfc-9054-f1acae89e776___R.S_HL 5504 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/607524f1-b59a-4a36-b842-e1d7225758da___R.S_HL 7920 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/854c7bc4-5439-432a-8131-4e37bcb660b3___R.S_HL 7964 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5cbf30da-f68e-444e-a68a-c7b8eb385421___R.S_HL 7902 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6af462af-d8d2-4ecb-9ff3-a512c64dfde6___R.S_HL 7888 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/c12df11f-fd72-43ea-98b6-b42bd71b9ed9___R.S_HL 8048 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/445d1b31-6f77-4597-9ded-4b94581dfa75___R.S_HL 5531 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b363f87e-e6ee-48e4-a0e8-6efe6e1ab592___R.S_HL 8201 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/7c09e620-aa1a-4516-b97c-fafecba84622___R.S_HL 0637 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1a926013-428a-4f3a-bb9d-71ae74eb5105___R.S_HL 8157 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/625ae925-ee23-46fb-a5fb-535b92c248be___R.S_HL 5543 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/18bb5247-d11a-40dd-894a-adbb27a73ed4___R.S_HL 8183 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9b75245d-d020-4508-a032-f7aa0e8d5589___R.S_HL 7995 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/79a3c505-b637-4ebb-b7e9-61f46bc0eb0b___R.S_HL 7922 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b5069c6e-a377-46a8-a53c-1275896c3036___R.S_HL 8235 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/64150a14-e8fa-4301-a7ba-52ca7d592b4a___R.S_HL 0599 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6eb1c523-f86b-4e13-9391-73573d0b0665___R.S_HL 8119 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/23e5ca0e-c7c3-4b27-b3b7-a0bb4ecbe177___R.S_HL 8245 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e79d33b8-9a57-48d3-b2bb-523ff0f4a384___R.S_HL 8337 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ed1a380e-aee9-46db-b967-93f25bbfdbff___R.S_HL 7961 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a5e0272b-cf5e-4860-9b12-93f00f85164f___R.S_HL 8072 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0292a37f-07d0-401f-83d8-cde4c98547d8___R.S_HL 0630 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/9d47547e-512f-49d0-9589-081a50333382___R.S_HL 7985 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/338fab57-bf99-437b-8c86-6856d2e7bcb5___R.S_HL 8059 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8f5c3f84-4ecc-4298-a5a0-d8a853f991dd___R.S_HL 8147 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/695000c6-5857-45af-a8cb-470bfeedf274___R.S_HL 7970 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f6244bb0-89ef-4256-bc25-701f6a66f1fa___R.S_HL 5508 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/28ca7e31-0f73-4546-b234-98dcaa581d67___R.S_HL 7920 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/7d9bd969-4031-45d2-b07a-26020da47471___R.S_HL 7924 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/5a09057d-7d3d-46b4-9ec8-e182f6f4afef___R.S_HL 7947 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f538f7b9-6522-4def-a7e9-907baec0591c___R.S_HL 8229 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/adde8d22-15d9-42a5-a75d-6befa661ff4d___R.S_HL 8012 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/db9acaef-81ac-43d5-9cc2-74ca5182726a___R.S_HL 8318 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/aabcc73c-187b-4fed-b318-3ad529e6ee15___R.S_HL 8244 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/0a966c0b-85d0-41ea-82d2-3121f9325460___R.S_HL 8180 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/d83ea494-b075-49d2-9c86-07e988bd6033___R.S_HL 8095 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/1d424e91-e89b-4cf8-a0e9-48fc345cb9c4___R.S_HL 8299 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/28f3f3b8-45c6-4137-86cd-8c95c871f202___R.S_HL 8288 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/d51a4307-22ad-4959-a7f9-c02caa7ae675___R.S_HL 8188 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/42629a94-b48b-412e-8f60-70f915fe1beb___R.S_HL 8100 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b1b0761e-ff5f-490b-ba2a-c2df04fe2e4f___R.S_HL 8159 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/be5032bc-eb0c-4c05-9f3b-18204a7ba055___R.S_HL 7901 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/495d4205-e476-48c0-9791-ff947e0d6fc6___R.S_HL 8077 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/6e0ab8d1-e0f8-4e5d-bf51-72232be658e2___R.S_HL 5491 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3d233d54-4960-454c-b98e-2febc7019bba___R.S_HL 7944 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/11dcda6d-bfdf-457d-8fad-ad169be1501e___R.S_HL 8199 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/21f7da6b-c22e-4f1a-9a22-39aaaa6cc38a___R.S_HL 5551 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/cb08f6cf-4701-475a-b589-d3f486a672a5___R.S_HL 7898 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/8b4dc6b9-d18a-42bf-b417-e2f3da7d3864___R.S_HL 8276 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/ac10769f-266b-452e-b8ab-671bd3df69c2___R.S_HL 8344 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/83bd7012-4dff-4fe3-862d-c4e59ce02216___R.S_HL 8062 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/e1059625-eff1-402f-87e0-01ed187dc8b6___R.S_HL 8185 copy 3.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f3afeaed-3b7a-4dad-b46e-a2144cfea6ea___R.S_HL 8299 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/45287d1a-2fc1-40ca-a80d-d1161985e96d___R.S_HL 0648 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/b5ec1705-1a9d-40c2-ad94-9aa3ef4852f3___R.S_HL 5500 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/f29a6d6b-c2b2-496a-8463-06ce5f44327a___R.S_HL 8076 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/a9fb7f08-cb01-431e-ae32-cbeb1279e866___R.S_HL 8313 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/3d7c8677-b8a0-4617-88b9-d248d30f70d1___R.S_HL 5550 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/40e5e314-1484-40c0-8297-3efde6fb5e89___R.S_HL 0613 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/00031d74-076e-4aef-b040-e068cd3576eb___R.S_HL 8315 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/765876b6-89e3-45dc-b3f0-1879028a9a1b___R.S_HL 8129 copy.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/59453ef6-bc9e-4b40-8a2c-e40e39cfd893___R.S_HL 8153 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/403c1b73-5eef-412c-9913-39909a5cedaf___R.S_HL 0636 copy 2.jpg,healthy,plantvillage,0,train
/kaggle/input/datasets/abdallahalidev/plantvillage-dataset/plantvillage dataset/color/Corn_(maize)___healthy/7c7e1c48-88cd-4ea5-8e34-ce9a2a164880___R.S_HL 8300 copy.jpg,healthy,plantvillage,0,train
